,거래처코드,거래처명,거래처부서명,대표자명,사업자번호,법인번호,전화번호
0,2001102,광혁건설㈜부천,총무부,신**,229*****,,032)506****
1,2001200,구산토건㈜김해,관리부,김**,101*****,,55****879
2,2001300,극동건설㈜울산,총무부,김**,201*****,,52****8125
3,2001400,금광기업㈜방화현장,총무부,고**,408*****,,6405****
4,2001500,금풍건설이엔씨㈜경주,총무부,나**,416*****,,54****6511
5,2001600,금풍건업㈜별내,총무부,최**,409*****,,31****2024
6,2001700,남광토건㈜,관리부,이**,120*****,,61****3081
7,2001800,남선건설㈜대산,관리부,윤**,209*****,,41****3017
8,2002000,뉴페이스건설㈜,관리부,김**,109*****,,2****3407
9,2002100,다다산업건설㈜,관리부,김**,210*****,,
10,2002200,대경산업개발㈜별내,총무부,유**,138*****,,31****9926
11,2002300,대남토건㈜거창,총무부,박**,105*****,,55****0752~3
12,2002400,대도토건㈜양양,총무부,최**,502*****,,33****5370
13,2002500,대림산업㈜예천,총무부,김**,116*****,,54****1717
14,2002600,대명씨엔티,총무부,육**,120*****,,10****1984
15,2002700,대미건설㈜진주,총무부,노**,605*****,,55****1992
16,2002800,대보건설㈜파주,총무부,박**,313*****,,31****2106
17,2002900,대보실업㈜순천,총무부,윤**,114*****,,061)751****
18,2003000,대성건설산업의성,총무부,권**,617*****,,10****3024
19,2003100,대성토건㈜옥천,총무부,지**,127*****,,43****469
20,2003200,대아레저산업㈜강남,총무부,한**,314*****,,11****9407
21,2003300,대운건설㈜포항,총무부,김**,506*****,,54****1831
22,2003400,대유토건㈜대구,총무부,심**,214*****,,53****73
23,2003500,대은건설㈜진안,총무부,강**,221*****,,11****7270
24,2003600,대일토건㈜대구,총무부,유**,502*****,,53****1708
25,2003700,대창건설㈜화순,총무부,유**,408*****,,61****1873
26,2003800,도양기업㈜용인,총무부,기**,410*****,,31****3093
27,2003900,동명이앤씨진례,총무부,이**,209*****,,055)338****
28,2004000,동명토건㈜,총무부,이**,114*****,,
29,2004100,동부건설㈜연기,총무부,임**,201*****,,41****1397
30,2004104,동성토건㈜,총무부,김**,210*****,,061)852****
31,2004200,동화건설㈜강릉,총무부,이**,308*****,,33****6804
32,2004300,동흥개발㈜진례,총무부,변**,604*****,,55****6916
33,2004400,두산건설㈜,영업1팀,박**,102*****,,31****8980
34,2004500,두산중공업㈜,총무부,민**,220*****,,
35,2004600,두양건기㈜양양,총무부,김**,220*****,,10****711
36,2004700,득영건설㈜여수,총무부,문**,408*****,,061)807****
37,2004800,라인원개발주식회사,총무부,주**,105*****,,332****
38,2004901,라인원건설㈜5공구,총무부,윤**,105*****,,
39,2005000,롯데건설㈜관악,총무부,박**,114*****,,2****9001
40,2005100,륜근건설㈜안흥,영업부,이**,218*****,,33****8026
41,2005200,림버스산업㈜완주,총무부,김**,215*****,,11****7107
42,2005300,매일건설㈜영월,총무부,홍**,408*****,,70****780
43,2005400,모산건설주식회사,총무부,박**,405*****,,63****1722
44,2005500,문화건설㈜,총무부,이**,314*****,,51****9970
45,2005600,민경건설㈜삼척,총무부,장**,214*****,,33****6553
46,2005700,배정공영주식회사성남,총무부,배**,214*****,,31****5078
47,2005800,백석토건㈜언양,총무부,김**,120*****,,52****6602
48,2005900,베티건설㈜,영업부,장**,214*****,,031)528****
49,2006000,비엠건설㈜경주/대손,총무부,전**,508*****,,10****9517
50,2006100,산하건설㈜충주,총무부,장**,120*****,,43****9946
51,2006200,산하토건㈜영덕,총무부,이**,129*****,,54****2837
52,2006300,삼광기업㈜서광화순,총무부,정**,124*****,,61****5681
53,2006400,삼대양개발㈜,총무부,정**,211*****,,54****143
54,2006500,삼보건설㈜,영업부,박**,105*****,,
55,2006600,삼보이엔씨㈜관악1,총무부,박**,617*****,,10****9320
56,2006606,삼보지질㈜진안,총무부,박**,617*****,,63****8084
57,2006609,삼부토건㈜길천,영업부,김**,104*****,,52****7200
58,2006612,엘티삼보㈜제물포,총무부,장**,617*****,,
59,2006700,삼삼건설㈜,총무부,박**,214*****,,32****8400
60,2006800,삼성건설㈜,영업부,최**,213*****,,
61,2006900,삼성물산㈜신갈,총무부,정**,135*****,,31****1683
62,2007000,삼익건설㈜,총무부,이**,120*****,,
63,2007100,삼일공영㈜,총무부,이**,110*****,,31****1473115
64,2007200,삼중건설㈜고철,총무부,김**,609*****,,055)363****
65,2007302,삼지건설㈜,총무부,이**,621*****,,54****8191
66,2007400,삼진종합토건㈜,총무부,장**,114*****,,
67,2007500,삼호개발㈜청송,영업부,백**,220*****,,54****8876
68,2007600,삼화종합중기양병원,총무부,양**,135*****,,10****6856
69,2007700,삼환기업㈜,총무부,허**,101*****,,61****6904
70,2007800,삼흥종합건설㈜,총무부,정**,402*****,,
