년월,상대습도,일강수량,최심적설,평균온도,기준금리,연면적별,수주량
2020-01,68.31738539898133,2.727843803056027,0.016502546689303885,2.9167741935483873,1.25,6200509,4808400
2020-02,66.88671506352087,2.033284936479129,0.24228675136116148,3.727441016333938,1.25,7743793,6317320
2020-03,60.694363327674026,1.06893039049236,0.006146010186757209,7.8993548387096775,0.75,11972937,7712350
2020-04,55.87428070175439,1.441263157894737,0.0,10.708385964912281,0.75,10481354,7157310
2020-05,72.77891341256367,3.5050254668930396,0.0,17.544923599320885,0.5,10999316,7712350
2020-06,75.59189473684211,6.405684210526315,0.0,22.576035087719298,0.5,10255271,5784210
2020-07,86.07426146010187,13.259626485568761,0.0,22.49969439728353,0.5,10658885,6645350
2020-08,85.08298811544992,12.875178268251274,0.0,26.501697792869273,0.5,8595586,6182310
2020-09,80.2260701754386,7.695719298245614,0.0,20.250245614035087,0.5,10775873,7566350
2020-10,68.9639728353141,0.4343633276740238,0.0,13.97704584040747,0.5,9195394,7057310
2020-11,65.55035087719298,1.3523508771929824,0.0,8.871894736842105,0.5,12312253,7567350
2020-12,60.43595925297114,0.3469609507640068,0.19511035653650252,0.8667572156196945,0.5,12855085,6274150
2021-01,63.52940577249575,0.799151103565365,0.6614261460101868,-0.5407130730050933,0.5,7570978,4630400
2021-02,58.4628947368421,0.8049624060150377,0.10180451127819547,3.7795488721804515,0.5,10178609,6145320
2021-03,67.55089983022071,3.6458404074702884,0.07117147707979625,8.908658743633277,0.5,12996528,7712350
2021-04,58.97312280701754,2.5723157894736843,0.0,13.222105263157895,0.5,11765306,7157310
2021-05,70.9046306397428,4.4857291478524735,0.0,16.716578766752157,0.5,12417941,7712350
2021-06,77.4980701754386,3.237263157894737,0.0,21.70073684210526,0.5,10857729,6191210
2021-07,80.72950764006791,7.627028862478777,0.0,26.04,0.5,10510350,7007350
2021-08,82.85538200339559,9.28376910016978,0.0,24.89748726655348,0.75,8974011,6449310
2021-09,80.56771929824562,5.275333333333334,0.0,21.542421052631582,0.75,11398360,6952350
2021-10,75.92852292020373,1.7705942275042446,0.0,15.437758913412564,0.75,11618046,6579310
2021-11,70.06294736842105,1.8828421052631579,0.00014035087719298,8.679087719298247,1.0,11415255,7032350
2021-12,64.51809847198642,0.32037351443123935,0.21813242784380302,2.312359932088285,1.0,14132721,6042150
