원자재코드,안전재고량
SR11002,534691.4721403986
SR13801,1085.1283839010787
SR15500,5648.000985302741
SR16002,20934.954239365994
SR16003,990.3714299008187
SR16600,36050.04364620548
SR18520,1872.4603982081076
SR34307,3618.775873514952
SR34311,5472.602283569832
SR34364,34633.38080046656
SR35210,44680.627413897106
SR35211,50236.68340925202
SR35217,67787.64449305282
SR35218,203569.9456410352
SR35221,70126.75342887809
SR35224,105255.26792912376
SR35225,80026.91018766965
SR35228,75317.0929673072
SR35500,40446.765712795146
SR35556,22858.190275813802
SR35755,3647.8805884734875
SR35758,23490.912406269214
SR35760,41.24181016048824
SR35761,41.24181016048824
SR35765,604.8798823538275
SR35903,25483.29906243045
SR35904,56438.70509203103
SR35905,823.2612631722202
SR38117,677.000859651112
SR47093,72.05
SR68222,831.215514764176
SSA043031400,12387.351930134631
TSN4012039104,6876.35433245734
TSN4012043602,14266.295295554648
TSN4012057700,8131.7883184661505
PEMA043062007,21974.167825253982
