place,rate,address,visit_post
인생식당,,,"<re.Match object; span=(14, 15), match='3'>"
디저트바 이브흐,4.91,,"<re.Match object; span=(14, 15), match='3'>"
공복식당,4.48,,
유야케도쿄,4.59,,"<re.Match object; span=(24, 25), match='3'>"
하늘초밥,4.66,,
마더린러 베이글,,,
라구식당,4.48,,
비밀,4.4,,
위샐러듀 이대점,4.61,,
정정,,,
연어초밥,4.67,,
유소바,,,
공릉닭한마리,4.45,,
그릭데이 이대본점,4.71,,
티앙팡 오후의 홍차,4.5,,
방콕익스프레스 신촌본점,4.37,,
키친봄날,4.78,,
비아37,4.67,,
진돈부리,4.83,,
내사랑,4.34,,"<re.Match object; span=(24, 25), match='3'>"
호밀밭,4.62,,
원즈오운,4.46,,
그릭데이 이대본점,4.71,,"<re.Match object; span=(14, 15), match='3'>"
자마버거 이대점,4.27,,"<re.Match object; span=(14, 15), match='3'>"
금별맥주 신촌직영점,4.44,,
한끼마끼,4.61,,
아건,4.82,,
고냉지,4.53,,
황금콩밭,4.36,,
란주탕슉,4.41,,
유원섬커피,4.44,,
오늘통닭 신촌직영점,4.47,,
킬더유튜브,,,
가야가야,4.29,,
삭 수제튀김 전문점,4.46,,
카페페라,,,
사장님돈까스 이화여대점,4.63,,
하루식당,4.69,,
시내당,,,
여래여거,4.95,,
낭만식탁,,,
에그 앤드 스푼레이스,4.5,,
가미분식,4.43,,
라화쿵부 신촌점,4.69,,
대현매운족발 본점,4.5,,
벤치커피스튜디오,4.63,,
유자유김치떡볶이 신촌점,4.6,,
까이식당,4.55,,
미스터서왕만두,4.49,,
방그레커피,,,
영미김밥,4.57,,
아소비바,,,
전골떡볶이 덕미가 이대본점,4.48,,
1987피자,4.77,,
